Cluster,customer_number,total_spend,num_of_unique_visits,total_quantity,average_basket_quantity,average_basket_spend,SUM_basket_categories,avg_spend_veg_category,avg_spend_other_food_category,avg_spend_miscelleanous_category
1,2994,586.07,47,350,1.5151515151515151,2.54,162,1.1428571428571428,1.8441333333333332,1.6570909090909094
1,3064,503.12,37,149,1.1374045801526718,3.84,97,0.9987037037037036,1.0874193548387094,11.56878787878788
1,3541,507.81,56,168,1.2262773722627736,3.71,121,1.0244827586206895,1.6784615384615384,6.818909090909092
1,3617,447.11,36,208,1.149171270718232,2.47,147,1.1540384615384616,0.9398214285714286,3.3447
1,3759,338.2,28,202,1.3116883116883116,2.2,104,1.0225196850393703,1.157719298245614,7.908333333333333
1,3780,753.11,17,512,1.5468277945619335,2.28,138,0.9752669039145908,1.5703508771929824,2.5644444444444443
1,3820,561.36,46,329,1.158450704225352,1.98,198,0.8731521739130435,0.8218115942028985,3.713333333333333
1,3838,467.16,87,302,1.184313725490196,1.83,184,0.8045192307692308,1.2179,2.670408163265306
1,3968,270.42,27,125,1.179245283018868,2.55,83,1.1293939393939392,1.5684615384615386,3.78975
1,4053,764.75,50,447,1.4752475247524752,2.52,193,0.7825806451612904,1.2014814814814814,2.502093023255814
1,4069,592.48,53,318,1.0816326530612244,2.02,177,1.0550299401197607,1.315061728395062,4.425285714285714
1,4149,768.24,38,371,1.1929260450160772,2.47,167,0.8009767441860464,1.1430588235294117,7.026338028169014
1,4187,745.67,30,477,1.2997275204359673,2.03,203,0.9722950819672131,1.994868421052632,1.8628169014084504
1,4242,385.56,53,227,1.0657276995305165,1.81,155,1.0728571428571427,1.6177083333333335,3.5917391304347825
1,4285,387.96,97,275,1.1554621848739497,1.63,204,1.098,1.0111320754716984,2.861296296296296
1,4355,574.75,27,368,1.2026143790849673,1.88,139,1.128343195266272,1.2769784172661869,3.4426666666666668
1,4378,573.93,55,415,1.0453400503778338,1.45,224,1.0072916666666667,1.761702127659574,2.464117647058824
1,4437,531.95,43,350,1.5695067264573992,2.39,160,1.3607563025210083,1.3330882352941178,1.7139263803680975
1,4460,321.98,22,206,1.1704545454545456,1.83,120,0.9704347826086958,1.2333333333333334,2.9544
1,4496,601.12,17,337,1.1462585034013604,2.04,118,1.7183544303797469,1.5104901960784314,2.27987012987013
1,4639,631.8,36,524,1.2242990654205608,1.48,196,0.8573529411764705,1.0603333333333331,2.885277777777778
1,4703,852.07,51,326,1.2118959107806693,3.17,193,1.3623243243243244,2.7369135802469136,6.305833333333334
1,4715,733.08,41,405,1.2695924764890285,2.3,180,1.2072093023255812,1.2800000000000002,2.926376811594203
1,4724,318.72,54,235,1.1576354679802956,1.57,147,0.8735087719298246,1.4437974683544303,2.501904761904762
1,4730,407.03,33,203,1.301282051282051,2.61,101,0.9571428571428572,0.9182692307692308,2.808448275862069
1,4749,631.12,92,260,1.181818181818182,2.87,177,1.3061971830985917,2.1459139784946237,3.5292708333333334
